Syntax version=4
Mon Jun 24 13:14:02 2019
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		count1	duty1
D:	time(ms)	(0x2000002a,2)	(0x2000003c,3)
D:	0.07	895	1000
D:	2.14	900	1000
D:	4.19	900	1000
D:	5.98	900	1000
D:	7.51	900	1000
D:	8.76	900	1000
D:	10.19	900	1000
D:	11.52	900	1000
D:	12.84	900	1000
D:	14.08	900	1000
D:	15.52	900	1000
D:	16.76	900	1000
D:	18.08	900	1000
D:	19.53	900	1000
D:	20.94	895	1050
D:	22.69	895	1050
D:	24.38	895	1050
D:	26.28	895	1050
D:	28.03	895	1050
D:	30.16	895	1000
D:	32.32	900	1000
D:	34.31	900	1000
D:	36.60	900	1000
D:	38.72	900	1050
D:	41.24	895	1050
D:	43.36	895	1050
D:	45.21	895	1050
D:	46.90	895	1050
D:	48.37	895	1050
D:	49.66	895	1050
D:	51.19	895	1050
D:	53.11	895	1050
D:	54.67	895	1050
D:	57.83	895	1050
D:	59.39	895	1050
D:	60.66	900	1000
D:	61.96	900	1000
D:	63.51	900	1000
D:	64.91	900	1000
D:	66.20	900	1000
D:	67.80	900	1000
D:	69.37	900	1000
D:	70.64	905	950
D:	71.96	905	950
D:	73.35	905	950
D:	74.71	905	950
D:	76.22	905	950
D:	77.64	905	950
D:	78.93	905	950
D:	80.34	905	950
D:	81.70	905	950
D:	83.04	905	950
D:	84.55	905	950
D:	86.14	905	950
D:	87.66	905	950
D:	89.23	905	950
D:	90.54	905	950
D:	91.80	905	950
D:	93.16	905	950
D:	94.52	905	950
D:	95.79	905	950
D:	97.06	905	950
D:	98.41	905	950
D:	99.70	905	950
D:	101.18	905	950
D:	102.96	905	950
D:	104.92	905	950
D:	107.58	905	950
D:	109.78	905	900
D:	112.45	910	900
D:	114.61	910	900
D:	116.90	910	900
D:	119.48	910	1000
D:	121.24	900	1000
D:	123.16	900	1000
D:	125.35	900	1000
D:	127.11	900	1000
D:	129.17	900	1000
D:	130.88	910	900
D:	132.46	910	900
D:	134.09	910	900
D:	135.68	910	900
D:	136.99	910	900
D:	138.25	910	900
D:	139.53	910	900
D:	140.85	900	1000
D:	142.27	900	1000
D:	143.64	900	1000
D:	144.92	900	1000
D:	146.33	900	1000
D:	147.74	900	1000
D:	149.23	900	1000
D:	150.74	905	950
D:	152.28	905	950
D:	153.64	905	950
D:	155.03	905	950
D:	156.45	905	950
D:	157.83	905	950
D:	159.19	905	950
D:	160.64	905	950
D:	161.94	905	950
D:	163.21	905	950
D:	164.66	905	950
D:	166.07	905	950
D:	167.99	905	950
D:	169.59	905	950
D:	171.28	905	950
D:	172.82	905	950
D:	174.09	905	950
D:	175.40	905	950
D:	176.74	905	950
D:	178.06	905	950
D:	179.51	905	950
D:	180.76	905	950
D:	182.04	905	950
D:	183.34	905	950
D:	184.78	905	950
D:	186.65	905	950
D:	188.73	905	950
D:	191.29	905	950
D:	193.60	905	950
D:	196.08	905	950
D:	198.65	905	950
D:	201.13	905	950
D:	203.37	905	950
D:	205.82	905	950
D:	208.06	905	950
D:	210.63	905	950
D:	212.76	905	950
D:	214.30	905	950
D:	215.64	905	950
D:	217.04	905	950
D:	218.77	905	950
D:	220.34	905	950
D:	221.95	905	950
D:	223.54	905	950
D:	224.80	905	950
D:	226.06	905	950
D:	227.42	905	950
D:	228.77	905	950
D:	230.18	905	950
D:	231.64	905	950
D:	233.03	905	950
D:	234.65	905	950
D:	235.98	905	950
D:	237.36	905	950
D:	238.75	905	950
D:	240.14	905	1000
D:	241.71	900	1000
D:	243.09	900	1000
D:	244.54	900	1000
D:	245.86	900	1000
D:	247.24	900	1000
D:	248.77	900	1000
D:	250.22	900	950
D:	251.92	905	950
D:	253.70	905	950
D:	255.39	905	950
D:	256.75	905	950
D:	258.07	905	950
D:	259.52	905	950
D:	260.98	900	1000
D:	262.30	900	1000
D:	263.66	900	1000
D:	265.26	900	1000
D:	266.95	900	1000
D:	268.56	900	1000
D:	270.24	900	1000
D:	271.82	900	1000
D:	274.05	900	1000
D:	276.42	900	1000
D:	278.59	900	1050
D:	281.37	895	1050
D:	283.46	895	1050
D:	285.72	895	1050
D:	287.98	895	1050
D:	290.07	895	1050
D:	292.49	895	1050
D:	294.46	895	1050
D:	296.22	895	1050
D:	297.93	895	1050
D:	299.43	895	1050
D:	300.98	900	1000
D:	302.59	900	1000
D:	304.23	900	1000
D:	305.82	900	1000
D:	307.12	900	1000
D:	308.51	900	1000
D:	309.94	900	1000
D:	311.32	900	1000
D:	312.69	900	1000
D:	313.98	900	1000
D:	316.86	900	1000
D:	318.88	900	1000
D:	321.39	900	1000
D:	324.38	900	1000
D:	326.92	900	1000
D:	329.75	900	1000
D:	331.93	900	1000
D:	334.44	900	1000
D:	336.33	900	1000
D:	338.18	900	1000
D:	340.09	900	1000
D:	341.71	900	1000
D:	343.07	900	1000
D:	344.39	900	1000
D:	345.63	900	1000
D:	346.91	900	1000
D:	348.19	900	1000
D:	349.51	900	1000
D:	350.82	900	950
D:	352.68	905	950
D:	354.73	905	950
D:	357.12	905	950
D:	359.65	905	1000
D:	361.73	900	1000
D:	364.13	900	1000
D:	366.38	900	1000
D:	368.61	900	1000
D:	370.80	900	950
D:	372.90	905	950
D:	374.81	905	950
D:	377.03	905	950
D:	379.32	905	950
D:	381.14	900	1000
D:	382.97	900	1000
D:	384.33	900	1000
D:	385.94	900	1000
D:	387.55	900	1000
D:	389.21	900	1000
D:	390.89	905	950
D:	392.41	905	950
D:	393.78	905	950
D:	395.18	905	950
D:	396.51	905	950
D:	397.85	905	950
D:	399.29	905	950
D:	400.84	905	950
D:	402.33	905	950
D:	403.69	905	950
D:	405.04	905	950
D:	406.72	905	950
D:	408.24	905	950
D:	409.64	905	950
D:	410.98	905	950
D:	412.36	905	950
D:	413.71	905	950
D:	415.12	905	950
D:	416.58	905	950
D:	418.00	905	950
D:	419.43	905	950
D:	420.84	905	950
D:	422.28	905	950
D:	423.65	905	950
D:	424.92	905	950
D:	426.18	905	950
D:	427.51	905	950
D:	428.79	905	950
D:	430.03	905	950
D:	431.44	905	950
D:	432.68	905	950
D:	434.07	905	950
D:	435.75	905	950
D:	437.51	905	950
D:	438.87	905	950
D:	440.20	905	950
D:	441.69	905	950
D:	443.05	905	950
D:	444.51	905	950
D:	445.95	905	950
D:	447.29	905	950
D:	448.64	905	950
D:	450.17	905	950
D:	451.81	905	950
D:	453.18	905	950
D:	454.57	905	950
D:	456.12	905	950
D:	457.52	905	950
D:	458.96	905	950
D:	460.35	905	1000
D:	461.69	900	1000
D:	463.09	900	1000
